11111	0
11112	1
11113	2
11114	3
11115	4
11116	5
11121	6
11122	7
11123	8
11124	9
11125	10
11126	11
11131	12
11132	13
11133	14
11134	15
11135	16
11136	17
11141	18
11142	19
11143	20
11144	21
11145	22
11146	23
11151	24
11152	25
11153	26
11154	27
11155	28
11156	29
11161	30
11162	31
11163	32
11164	33
11165	34
11166	35
11211	36
11212	37
11213	38
11214	39
11215	40
11216	41
11221	42
11222	43
11223	44
11224	45
11225	46
11226	47
11231	48
11232	49
11233	50
11234	51
11235	52
11236	53
11241	54
11242	55
11243	56
11244	57
11245	58
11246	59
11251	60
11252	61
11253	62
11254	63
11255	64
11256	65
11261	66
11262	67
11263	68
11264	69
11265	70
11266	71
11311	72
11312	73
11313	74
11314	75
11315	76
11316	77
11321	78
11322	79
11323	80
11324	81
11325	82
11326	83
11331	84
11332	85
11333	86
11334	87
11335	88
11336	89
11341	90
11342	91
11343	92
11344	93
11345	94
11346	95
11351	96
11352	97
11353	98
11354	99
11355	100
11356	101
11361	111
11362	123
11363	200
11364	222
11365	234
11366	300
11411	333
11412	345
11413	400
11414	444
11415	456
11416	500
11421	555
11422	567
11423	600
11424	666
11425	678
11426	700
11431	777
11432	789
11433	800
11434	888
11435	900
11436	999
11441	1000
11442	1111
11443	1234
11444	1492
11445	1500
11446	1600
11451	1700
11452	1800
11453	1900
11454	1910
11455	1920
11456	1925
11461	1930
11462	1935
11463	1940
11464	1945
11465	1950
11466	1955
11511	1960
11512	1965
11513	1970
11514	1975
11515	1980
11516	1985
11521	1990
11522	1991
11523	1992
11524	1993
11525	1994
11526	1995
11531	1996
11532	1997
11533	1998
11534	1999
11535	2000
11536	2001
11541	2002
11542	2003
11543	2004
11544	2005
11545	2006
11546	2007
11551	2008
11552	2009
11553	2010
11554	2015
11555	2020
11556	2030
11561	2035
11562	2040
11563	2045
11564	2050
11565	2222
11566	2345
11611	2468
11612	3000
11613	3333
11614	3456
11615	4000
11616	4321
11621	4444
11622	4567
11623	5000
11624	5555
11625	5678
11626	6000
11631	6666
11632	6789
11633	7000
11634	7777
11635	8000
11636	8888
11641	9000
11642	9876
11643	9999
11644	-
11645	--
11646	---
11651	;
11652	:
11653	:-(
11654	:-)
11655	:(
11656	:)
11661	!
11662	!!
11663	!!!
11664	?
11665	??
11666	???
12111	""""
12112	(
12113	()
12114	)
12115	@
12116	*
12121	**
12122	***
12123	&
12124	#
12125	##
12126	###
12131	%
12132	%%
12133	%%%
12134	+
12135	++
12136	+++
12141	=
12142	$
12143	$$
12144	$$$
12145	a
12146	aa
12151	aaa
12152	aaaa
12153	ab
12154	abat
12155	abc
12156	abdik
12161	abdomen
12162	abel
12163	abelujo
12164	abi
12165	abism
12166	abiturient
12211	ablativ
12212	ablombacho
12213	abneg
12214	abnego
12215	abomen
12216	abon
12221	abonilo
12222	abort
12223	aborto
12224	abrikot
12225	abrotan
12226	abrupt
12231	absces
12232	absint
12233	absolut
12234	absolutismo
12235	absolv
12236	absolvo
12241	absor
12242	abstin
12243	abstineco
12244	abstinema
12245	abstinulo
12246	abstrakt
12251	absurd
12252	abund
12253	abunda
12254	ac
12255	acer
12256	acetat
12261	acetilen
12262	ach
12263	achet
12264	acid
12265	ad
12266	adagh
12311	adapt
12312	adenit
12313	adenojd
12314	adept
12315	adiant
12316	adiauh
12321	adici
12322	adjektiv
12323	adjunkt
12324	adjutant
12325	administr
12326	administrad
12331	administrado
12332	administrejo
12333	admir
12334	admiral
12335	admiralar
12336	admon
12341	adopt
12342	ador
12343	adorklinighi
12344	adres
12345	adresaro
12346	adstring
12351	adstringa
12352	adult
12353	advent
12354	adverb
12355	advokat
12356	ae
12361	aer
12362	aerodrom
12363	aerolit
12364	aerometr
12365	aeronauht
12366	aeronauhtik
12411	aeroplan
12412	aerostat
12413	aeruml
12414	af
12415	afable
12416	afal
12421	afekt
12422	afeli
12423	afer
12424	afiks
12425	afis
12426	afish
12431	afishisto
12432	afisho
12433	aflikt
12434	aforism
12435	afrank
12436	aft
12441	afust
12442	ag
12443	aga
12444	agac
12445	agado
